unit,region,depth_um,fr_pre,fr_stim,pct_change,log2_ratio,mod_index,p_raw,z_pct,z_log2,p_fdr,responder_z2sd,responder_wilcoxon,condition
15,CTX,422.42724609375,0.475,0.6208333333333333,30.70175438596492,0.38627850629741994,0.1330798479087453,0.07739057288927044,0.05679708557598376,0.401925145976052,0.23622918625019873,False,False,flicker_40Hz
25,CTX,480.804443359375,23.241666666666667,20.083333333333332,-13.589100035855152,-0.21071478791098822,-0.07289863435276019,0.006027054851211096,-0.40228502593613746,-0.55188925381134,0.03013527425605548,False,True,flicker_40Hz
23,CTX,502.58251953125,4.025,4.7875,18.94409937888197,0.25028370381033993,0.08652482269503538,0.044998044926736654,-0.06507297445210847,0.18464665697658172,0.1574931572435783,False,False,flicker_40Hz
20,CTX,511.6981201171875,9.608333333333333,7.1625,-25.455333911535124,-0.42382296817371085,-0.14583850931677017,0.00015586852722649082,-0.5252805240916223,-0.8923715557383578,0.0018184661509757262,False,True,flicker_40Hz
27,CTX,546.5692138671875,9.841666666666667,9.8875,0.46570702794241325,0.006703135796790713,0.002323125659978839,0.6058767695361778,-0.2566046007564212,-0.20452128767810263,0.8079189559041076,False,False,flicker_40Hz
32,CTX,582.375,20.408333333333335,21.045833333333334,3.1237239689669214,0.04437626786722435,0.0153784299929641,0.3991641910936632,-0.22905381074232384,-0.14433103729762237,0.6985373344139105,False,False,flicker_40Hz
35,CTX,599.0913696289062,9.825,8.916666666666666,-9.245122985581,-0.13995292169125334,-0.04846598488216985,0.023287767557484938,-0.3572589774971716,-0.43883323189118373,0.1018839830639966,False,False,flicker_40Hz
45,CTX,738.1071166992188,0.26666666666666666,0.25416666666666665,-4.687500000000004,-0.06926266243711372,-0.024000000000000025,0.949549174230631,-0.3100184532171543,-0.32589161620569096,0.9756625089156761,False,False,flicker_40Hz
56,CTX,801.6923828125,0.6,1.2375,106.25000000000001,1.0443941193584534,0.34693877551020413,0.0020960852288372466,0.8398672830305836,1.4533944916993666,0.012227163834883939,False,True,flicker_40Hz
55,CTX,805.0826416015625,0.5666666666666667,0.6708333333333333,18.382352941176464,0.24345403686427758,0.08417508417508415,0.1771799500615555,-0.07089557020291895,0.1737349185331141,0.41341988347696285,False,False,flicker_40Hz
58,CTX,842.6435546875,0.20833333333333334,0.9083333333333333,336.0,2.1243281350022016,0.626865671641791,5.065831018465879e-05,3.221264447225898,3.178801837031525,0.0008865204282315288,True,True,flicker_40Hz
65,CTX,872.6962890625,34.4,41.24166666666667,19.888565891472876,0.2616940714437489,0.09044838603062688,0.0012614854328120292,-0.05528342113432207,0.2028769672014971,0.008830398029684204,False,True,flicker_40Hz
64,CTX,879.1714477539062,5.058333333333334,2.8833333333333333,-42.99835255354201,-0.8109244786189577,-0.27387198321091294,0.00034403181852222256,-0.707116845508383,-1.5108424806617315,0.0030102784120694475,False,True,flicker_40Hz
67,CTX,927.9193115234375,0.15,0.8291666666666667,452.7777777777778,2.4666996191013366,0.6936170212765957,9.15525418234606e-09,4.431685639134629,3.725807732706351,3.204338963821121e-07,True,True,flicker_40Hz
66,CTX,939.7611694335938,0.16666666666666666,0.19166666666666668,15.000000000000014,0.20163386116965068,0.06976744186046517,0.2756536588056233,-0.10595422396755565,0.10691894896336405,0.5675222387174598,False,False,flicker_40Hz
