unit,region,depth_um,fr_hz,condition,n_cycle_spikes,mod_depth,mod_depth_norm,fr_peak,fr_trough,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_p_fdr
39,CTX,654.4733276367188,26.821999908321143,flicker_40Hz,6801,1.1578249336870026,0.07314074984634293,30.3125,26.180555555555557,0.01831372945663608,0.00018838318553536165,0.10217898734079099,16.666329513184717,True,0.5395454610063842
37,CTX,626.8199462890625,25.036556812221708,flicker_40Hz,5885,1.350498338870432,0.1491166077738516,28.229166666666668,20.90277777777778,0.007970723927556251,-0.00010640917590346109,0.6880714582891029,354.00987689302144,True,0.9003596476244511
33,CTX,553.48486328125,22.320214623473934,flicker_40Hz,5351,1.1982905982905983,0.09020217729393469,24.34027777777778,20.3125,0.012017349931413264,-4.2472194700844954e-05,0.4617510198231771,1.4707761380263473,True,0.7859591826777483
36,CTX,626.8485717773438,21.47200057560396,flicker_40Hz,4957,1.4503968253968254,0.1838056680161943,25.381944444444443,17.5,0.022543642063596506,0.00030654271754754876,0.08051661744656989,231.77055654724566,True,0.46009495683754226
19,CTX,464.17071533203125,20.402238082394817,flicker_40Hz,5104,1.3320463320463318,0.1423841059602648,23.95833333333333,17.98611111111111,0.05286301868663259,0.002599083204538764,6.33693738368202e-07,22.86738045238425,True,0.00010139099813891232
34,CTX,612.848876953125,18.62272931965268,flicker_40Hz,4949,1.2729007633587788,0.12006717044500423,23.15972222222222,18.194444444444443,0.02592752778384407,0.0004702706979312749,0.03589624936627682,46.955554783062226,True,0.2958024921501232
3,CTX,79.40536499023438,15.250445483811427,flicker_40Hz,3814,1.1404761904761904,0.0656284760845383,16.631944444444443,14.583333333333334,0.0009458416585346879,-0.00026136583605725755,0.9965941923381803,333.37791902338284,True,0.9965941923381803
14,CTX,424.4336242675781,14.317172657820166,flicker_40Hz,3533,1.2233502538071066,0.1004566210045662,16.73611111111111,13.680555555555555,0.01930112424497137,8.951316308729609e-05,0.2681800217813476,333.1019657182315,True,0.7398069566382002
48,CTX,727.296875,13.284203031426276,flicker_40Hz,3724,1.1300236406619384,0.06104328523862373,16.59722222222222,14.6875,0.009720309836598858,-0.00017409078902988302,0.7034059747066024,178.675201772811,True,0.9003596476244511
52,CTX,765.3553466796875,12.685230984562873,flicker_40Hz,3130,1.1958456973293767,0.0891891891891891,13.993055555555554,11.70138888888889,0.031983857672530744,0.0007037031590157502,0.040672842670641945,55.10855547097844,True,0.2958024921501232
53,CTX,810.2553100585938,12.138085449019883,flicker_40Hz,2968,1.206896551724138,0.09374999999999999,13.368055555555555,11.07638888888889,0.007006098606633721,-0.0002879388204611807,0.8644491739449549,310.4836366338841,True,0.9667465768064952
24,CTX,505.1506652832031,10.605444953941397,flicker_40Hz,2902,1.3178807947019866,0.1371428571428571,13.819444444444443,10.48611111111111,0.043813406459089065,0.0015755675723075511,0.00380120757306857,333.1703236446709,True,0.0868847445272816
69,CTX,933.3778076171875,10.307937041628794,flicker_40Hz,2764,1.2405498281786942,0.10736196319018405,12.534722222222221,10.104166666666666,0.020799888712659188,7.086650884860492e-05,0.30248693879588207,253.6345251689374,True,0.7445832339590943
31,CTX,584.6793823242188,10.041683284997967,flicker_40Hz,2738,1.2702702702702702,0.119047619047619,13.055555555555555,10.277777777777779,0.025113648382786725,0.000265562231453433,0.1778524949680664,314.23098705363753,True,0.6054553020189495
61,CTX,847.1752319335938,7.789801587014813,flicker_40Hz,1476,1.2088607594936709,0.09455587392550142,6.631944444444444,5.486111111111111,0.005986859338226754,-0.000642099316969551,0.9484880714882306,61.60678682099346,True,0.9792478282420495
1,CTX,72.90603637695312,7.531064652636566,flicker_40Hz,1973,1.2428571428571429,0.10828025477707011,9.0625,7.291666666666666,0.017445550626351947,-0.000202597820525614,0.5486082713074895,301.70531543764645,True,0.8359745086590316
43,CTX,749.934326171875,7.295273807239876,flicker_40Hz,1894,1.2476190476190474,0.11016949152542366,9.097222222222221,7.291666666666667,0.03395993038154564,0.0006256240859259345,0.11254979305191806,336.22612339973364,True,0.5395454610063842
63,CTX,891.9421997070312,7.175400273422431,flicker_40Hz,1525,1.4391891891891893,0.18005540166204986,7.395833333333334,5.138888888888889,0.023451730361012224,-0.00010582344041235278,0.4323302934496232,3.6547710795081803,True,0.7859591826777483
28,CTX,512.4619750976562,7.116848184297078,flicker_40Hz,1811,1.2760416666666663,0.12128146453089232,8.506944444444443,6.666666666666667,0.03504618643479425,0.0006764275787514299,0.10813197311896514,22.640533773425016,True,0.5395454610063842
47,CTX,742.1814575195312,6.9206195612823835,flicker_40Hz,1913,1.293269230769231,0.12788259958071288,9.340277777777779,7.222222222222221,0.04365355266974057,0.0013836167781901745,0.02608852438042612,359.9269430254462,True,0.2767173013919631
42,CTX,702.7573852539062,6.617177315612482,flicker_40Hz,1425,1.4539007092198581,0.18497109826589594,7.118055555555555,4.895833333333333,0.0514049759612573,0.001942080030792032,0.023128505165594258,321.76443881218506,True,0.2643257733210772
21,CTX,488.3040771484375,6.508776826285816,flicker_40Hz,1641,1.4629629629629632,0.18796992481203015,8.229166666666668,5.625,0.02788739214563045,0.00016842475448946613,0.279130500516548,29.388747996653365,True,0.7407560793415142
70,CTX,967.37646484375,6.150343091504941,flicker_40Hz,1396,1.4926470588235292,0.19764011799410028,7.048611111111111,4.722222222222222,0.05730325011897047,0.0025691704759709076,0.010192360791395941,326.20604178701376,True,0.1904212882599528
5,CTX,125.89278411865234,5.509039466692802,flicker_40Hz,1271,1.34375,0.14666666666666664,5.972222222222222,4.444444444444445,0.028519256764344497,2.658686308855471e-05,0.35573512987370937,255.21093820900452,True,0.7489160628920196
2,CTX,81.89913940429688,4.824613019484289,flicker_40Hz,1109,1.415929203539823,0.17216117216117213,5.555555555555555,3.923611111111111,0.021222775361227523,-0.00045171437799391994,0.606936231436209,291.47608027834366,True,0.8795603382774275
